user_id,total_transactions,total_volume,avg_transaction_amount,median_transaction_amount,std_transaction_amount,max_transaction_amount,min_transaction_amount,cv_transaction_amount,pct_transfers,pct_debits,pct_cashouts,pct_payments,avg_hours_between_txns,pct_weekend_txns,pct_night_txns,pct_early_morning_txns,avg_balance,min_balance,max_balance,balance_volatility,pct_low_balance_txns,total_fees_paid,avg_fees_per_txn,pct_txns_with_fees,unique_recipients,recipient_concentration,unique_txn_types,account_age_days,transactions_per_day
USER_000000,21.0,391.7389015389614,18.65423340661721,15.81,14.505367102034501,48.76,1.41,0.7775911658148879,0.3333333333333333,0.2857142857142857,0.09523809523809523,0.09523809523809523,13.255261065930556,0.3333333333333333,0.047619047619047616,0.09523809523809523,169.5561904761905,34.13,267.54,71.55255610222395,0.0,0.0,0.0,0.0,11.0,0.23809523809523808,7.0,11.0,1.9090909090909092
USER_000001,17.0,237.78,13.987058823529411,7.76,12.8029848886431,34.52,0.65,0.9153450378792696,0.29411764705882354,0.5294117647058824,0.0,0.11764705882352941,40.4494490046875,0.11764705882352941,0.11764705882352941,0.0,397.29058823529414,310.52,465.72,53.50032423623574,0.0,0.0,0.0,0.0,11.0,0.23529411764705882,4.0,26.0,0.6538461538461539
USER_000002,22.0,723.0915625890827,32.86779829950376,21.481410405141375,40.658532637876526,189.5487417788,3.33,1.2370324372621695,0.3181818181818182,0.3181818181818182,0.045454545454545456,0.18181818181818182,18.71211548981482,0.4090909090909091,0.0,0.13636363636363635,233.26909090909095,56.7,394.31,93.55637836335659,0.0,0.0,0.0,0.0,17.0,0.13636363636363635,7.0,16.0,1.375
USER_000003,17.0,455.17909503151515,26.775240884206774,17.01,31.29063297596047,135.5882814322497,3.87,1.1686405777367657,0.4117647058823529,0.4117647058823529,0.0,0.11764705882352941,8.665360473697916,0.29411764705882354,0.0,0.11764705882352941,218.61588235294116,42.54,362.13,109.21762306622175,0.0,0.0,0.0,0.0,10.0,0.29411764705882354,5.0,5.0,3.4
USER_000004,13.0,438.00160948905005,33.6924314991577,22.45,47.07017065164755,185.72005739331945,4.42,1.3970547258610377,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.07692307692307693,4.664797995694444,0.0,0.15384615384615385,0.0,184.15615384615387,50.0,276.65,78.42165831138546,0.0,0.0,0.0,0.0,9.0,0.3076923076923077,7.0,2.0,6.5
USER_000005,14.0,530.9535487361813,37.92525348115581,34.44,31.304472327897447,122.63395646708454,5.040698883187645,0.825425526646827,0.35714285714285715,0.14285714285714285,0.0,0.07142857142857142,11.780136056047008,0.35714285714285715,0.0,0.0,127.66928571428572,74.89,197.52,42.69331499900653,0.0,0.0,0.0,0.0,10.0,0.14285714285714285,6.0,6.0,2.3333333333333335
USER_000006,21.0,348.94,16.616190476190475,10.87,18.157458653729734,76.94,1.11,1.0927570118883603,0.5238095238095238,0.23809523809523808,0.0,0.047619047619047616,7.455335677388889,0.23809523809523808,0.0,0.0,289.83761904761906,201.91,349.73,46.614081338664384,0.0,0.0,0.0,0.0,10.0,0.23809523809523808,5.0,6.0,3.5
USER_000007,16.0,275.45000000000005,17.215625000000003,12.605,12.202291024639594,38.14,1.82,0.7087916369367706,0.375,0.1875,0.0625,0.125,1.9789223841851853,0.0,0.125,0.125,239.693125,151.03,308.46,49.778966337031676,0.0,0.0,0.0,0.0,8.0,0.3125,6.0,1.0,16.0
USER_000008,17.0,431.5390016331477,25.38464715489104,17.16,26.511551928306904,86.11631651099611,0.87,1.0443931627861422,0.5882352941176471,0.23529411764705882,0.0,0.058823529411764705,2.061209189565972,0.8235294117647058,0.058823529411764705,0.0,124.32294117647061,62.21,214.82,46.537909515349135,0.0,0.0,0.0,0.0,9.0,0.29411764705882354,4.0,1.0,17.0
USER_000009,22.0,738.2375643715757,33.556252925980715,27.785,31.60624503156177,136.23506272289973,2.21,0.9418883896625667,0.36363636363636365,0.13636363636363635,0.045454545454545456,0.22727272727272727,3.511490063796296,0.5909090909090909,0.13636363636363635,0.13636363636363635,187.62909090909096,30.34,400.88,122.20751963883835,0.0,2.5700000000000003,0.11681818181818183,0.045454545454545456,14.0,0.13636363636363635,7.0,3.0,7.333333333333333
USER_000010,13.0,446.45053925922207,34.34234917378631,21.65,47.634781659373154,185.34053925922208,3.1,1.3870565877226892,0.3076923076923077,0.15384615384615385,0.0,0.15384615384615385,2.5738987866435186,0.6923076923076923,0.07692307692307693,0.0,125.52076923076923,17.4,229.93,69.38359778092833,0.07692307692307693,0.0,0.0,0.0,8.0,0.23076923076923078,6.0,1.0,13.0
USER_000011,31.0,634.8000297708509,20.477420315188738,17.37,15.807963713909071,61.89,1.4252990070949565,0.7719704665232571,0.2903225806451613,0.22580645161290322,0.06451612903225806,0.0967741935483871,8.079722575583334,0.3225806451612903,0.03225806451612903,0.0,102.07000000000001,5.0,253.55,67.0556670734597,0.03225806451612903,0.0,0.0,0.0,17.0,0.12903225806451613,8.0,10.0,3.1
